f1_mm;f2_mm;L_mm;q_mm;Sm_at_zero_per_mm;range_lin_10_90_mm;range_amp_50_90_mm
10;200;65;24,02245;25,09344;0,05569;0,01247
16;200;65;24,02245;30,61717;0,14211;0,03181
20;200;65;24,02245;10,04409;0,22155;0,04959
25;200;65;24,02245;8,67462;0,34523;0,07728
30;200;65;24,02245;5,87933;0,49577;0,11098
40;200;65;24,02245;3,20336;0,87658;0,19622
50;200;65;24,02245;2,04677;1,36226;0,30494
60;200;65;24,02245;1,43506;1,9511;0,43675
10;160;65;19,21796;19,92226;0,07015;0,0157
16;160;65;19,21796;7,81462;0,17884;0,04003
20;160;65;19,21796;10,37392;0,27866;0,06238
25;160;65;19,21796;5,84186;0,43391;0,09713
30;160;65;19,21796;4,60102;0,62269;0,13939
40;160;65;19,21796;2,51256;1,09946;0,24611
50;160;65;19,21796;1,63045;1,70628;0,38195
60;160;65;19,21796;1,14276;2,44052;0,54631
10;150;65;18,01684;18,62947;0,07502;0,01679
16;150;65;18,01684;7,30963;0,19119;0,0428
20;150;65;18,01684;10,72761;0,29786;0,06668
25;150;65;18,01684;5,93405;0,46369;0,1038
30;150;65;18,01684;4,03776;0,66527;0,14892
40;150;65;18,01684;2,33063;1,17409;0,26282
50;150;65;18,01684;1,54313;1,82126;0,40769
60;150;65;18,01684;1,07465;2,6038;0,58286
10;100;65;12,01122;12,16549;0,11488;0,02572
16;100;65;12,01122;4,78464;0,29209;0,06539
20;100;65;12,01122;3,07603;0,45434;0,1017
25;100;65;12,01122;4,24225;0,70593;0,15802
30;100;65;12,01122;2,88345;1,01088;0,22628
40;100;65;12,01122;1,57992;1,77731;0,39785
50;100;65;12,01122;1,03955;2,74678;0,61487
60;100;65;12,01122;0,71151;3,91272;0,87586
10;60;65;7,20673;6,99431;0,19981;0,04473
16;60;65;7,20673;2,76464;0,50551;0,11316
20;60;65;7,20673;1,78323;0,78372;0,17544
25;60;65;7,20673;1,15236;1,21278;0,27148
30;60;65;7,20673;2,2427;1,72976;0,38721
40;60;65;7,20673;0,88367;3,0176;0,67549
50;60;65;7,20673;0,58513;4,62841;1,03607
60;60;65;7,20673;0,43083;6,54472;1,46503
