meetbereik(hw50),f1(cm),f2(cm),r_d(um),offset(mm),sens(/mm),linear_range(mm)
1 mm,2.0,2.0,666.044,1.35956,0.984719,6.39008
1 mm,2.0,2.5,532.835,2.12431,0.984719,6.39008
1 mm,2.0,3.0,444.029,3.059,0.984719,6.39008
1 mm,2.0,3.5,380.596,4.16364,0.984719,6.39008
1 mm,2.0,4.0,333.022,5.43822,0.984719,6.39008
1 mm,2.0,4.5,296.019,6.88275,0.984719,6.39008
1 mm,2.0,5.0,266.417,8.49722,0.984719,6.39008
1 mm,2.0,5.5,242.198,10.2816,0.984719,6.39008
1 mm,2.0,6.0,222.015,12.236,0.984719,6.39008
1 mm,2.0,6.5,204.937,14.3603,0.984719,6.39008
1 mm,2.0,7.0,190.298,16.6546,0.984719,6.39008
1 mm,2.0,7.5,177.612,19.1188,0.984719,6.39008
1 mm,2.0,8.0,166.511,21.7529,0.984719,6.39008
1 mm,2.0,8.5,156.716,24.557,0.984719,6.39008
1 mm,2.0,9.0,148.01,27.531,0.984719,6.39008
1 mm,2.0,9.5,140.22,30.675,0.984719,6.39008
1 mm,2.0,10.0,133.209,33.9889,0.984719,6.39008
1 mm,2.0,10.5,126.865,37.4728,0.984719,6.39008
1 mm,2.0,11.0,121.099,41.1266,0.984719,6.39008
1 mm,2.0,11.5,115.834,44.9503,0.984719,6.39008
1 mm,2.0,12.0,111.007,48.944,0.984719,6.39008
1 mm,2.0,12.5,106.567,53.1077,0.984719,6.39008
1 mm,2.0,13.0,102.468,57.4412,0.984719,6.39008
1 mm,2.0,13.5,98.6731,61.9448,0.984719,6.39008
1 mm,2.0,14.0,95.1491,66.6182,0.984719,6.39008
1 mm,2.0,14.5,91.8681,71.4617,0.984719,6.39008
1 mm,2.0,15.0,88.8058,76.475,0.984719,6.39008
1 mm,2.5,2.0,666.044,0.870116,0.984719,6.39008
1 mm,2.5,2.5,532.835,1.35956,0.984719,6.39008
1 mm,2.5,3.0,444.029,1.95776,0.984719,6.39008
1 mm,2.5,3.5,380.596,2.66473,0.984719,6.39008
1 mm,2.5,4.0,333.022,3.48046,0.984719,6.39008
1 mm,2.5,4.5,296.019,4.40496,0.984719,6.39008
1 mm,2.5,5.0,266.417,5.43822,0.984719,6.39008
1 mm,2.5,5.5,242.198,6.58025,0.984719,6.39008
1 mm,2.5,6.0,222.015,7.83104,0.984719,6.39008
1 mm,2.5,6.5,204.937,9.1906,0.984719,6.39008
1 mm,2.5,7.0,190.298,10.6589,0.984719,6.39008
1 mm,2.5,7.5,177.612,12.236,0.984719,6.39008
1 mm,2.5,8.0,166.511,13.9219,0.984719,6.39008
1 mm,2.5,8.5,156.716,15.7165,0.984719,6.39008
1 mm,2.5,9.0,148.01,17.6198,0.984719,6.39008
1 mm,2.5,9.5,140.22,19.632,0.984719,6.39008
1 mm,2.5,10.0,133.209,21.7529,0.984719,6.39008
1 mm,2.5,10.5,126.865,23.9826,0.984719,6.39008
1 mm,2.5,11.0,121.099,26.321,0.984719,6.39008
1 mm,2.5,11.5,115.834,28.7682,0.984719,6.39008
1 mm,2.5,12.0,111.007,31.3242,0.984719,6.39008
1 mm,2.5,12.5,106.567,33.9889,0.984719,6.39008
1 mm,2.5,13.0,102.468,36.7624,0.984719,6.39008
1 mm,2.5,13.5,98.6731,39.6447,0.984719,6.39008
1 mm,2.5,14.0,95.1491,42.6357,0.984719,6.39008
1 mm,2.5,14.5,91.8681,45.7355,0.984719,6.39008
1 mm,2.5,15.0,88.8058,48.944,0.984719,6.39008
1 mm,3.0,2.0,666.044,0.604247,0.984719,6.39008
1 mm,3.0,2.5,532.835,0.944136,0.984719,6.39008
1 mm,3.0,3.0,444.029,1.35956,0.984719,6.39008
1 mm,3.0,3.5,380.596,1.85051,0.984719,6.39008
1 mm,3.0,4.0,333.022,2.41699,0.984719,6.39008
1 mm,3.0,4.5,296.019,3.059,0.984719,6.39008
1 mm,3.0,5.0,266.417,3.77654,0.984719,6.39008
1 mm,3.0,5.5,242.198,4.56962,0.984719,6.39008
1 mm,3.0,6.0,222.015,5.43822,0.984719,6.39008
1 mm,3.0,6.5,204.937,6.38236,0.984719,6.39008
1 mm,3.0,7.0,190.298,7.40203,0.984719,6.39008
1 mm,3.0,7.5,177.612,8.49722,0.984719,6.39008
1 mm,3.0,8.0,166.511,9.66795,0.984719,6.39008
1 mm,3.0,8.5,156.716,10.9142,0.984719,6.39008
1 mm,3.0,9.0,148.01,12.236,0.984719,6.39008
1 mm,3.0,9.5,140.22,13.6333,0.984719,6.39008
1 mm,3.0,10.0,133.209,15.1062,0.984719,6.39008
1 mm,3.0,10.5,126.865,16.6546,0.984719,6.39008
1 mm,3.0,11.0,121.099,18.2785,0.984719,6.39008
1 mm,3.0,11.5,115.834,19.9779,0.984719,6.39008
1 mm,3.0,12.0,111.007,21.7529,0.984719,6.39008
1 mm,3.0,12.5,106.567,23.6034,0.984719,6.39008
1 mm,3.0,13.0,102.468,25.5294,0.984719,6.39008
1 mm,3.0,13.5,98.6731,27.531,0.984719,6.39008
1 mm,3.0,14.0,95.1491,29.6081,0.984719,6.39008
1 mm,3.0,14.5,91.8681,31.7607,0.984719,6.39008
1 mm,3.0,15.0,88.8058,33.9889,0.984719,6.39008
1 mm,3.5,2.0,666.044,0.443937,0.984719,6.39008
1 mm,3.5,2.5,532.835,0.693651,0.984719,6.39008
1 mm,3.5,3.0,444.029,0.998857,0.984719,6.39008
1 mm,3.5,3.5,380.596,1.35956,0.984719,6.39008
1 mm,3.5,4.0,333.022,1.77575,0.984719,6.39008
1 mm,3.5,4.5,296.019,2.24743,0.984719,6.39008
1 mm,3.5,5.0,266.417,2.7746,0.984719,6.39008
1 mm,3.5,5.5,242.198,3.35727,0.984719,6.39008
1 mm,3.5,6.0,222.015,3.99543,0.984719,6.39008
1 mm,3.5,6.5,204.937,4.68908,0.984719,6.39008
1 mm,3.5,7.0,190.298,5.43822,0.984719,6.39008
1 mm,3.5,7.5,177.612,6.24286,0.984719,6.39008
1 mm,3.5,8.0,166.511,7.10299,0.984719,6.39008
1 mm,3.5,8.5,156.716,8.01861,0.984719,6.39008
1 mm,3.5,9.0,148.01,8.98972,0.984719,6.39008
1 mm,3.5,9.5,140.22,10.0163,0.984719,6.39008
1 mm,3.5,10.0,133.209,11.0984,0.984719,6.39008
1 mm,3.5,10.5,126.865,12.236,0.984719,6.39008
1 mm,3.5,11.0,121.099,13.4291,0.984719,6.39008
1 mm,3.5,11.5,115.834,14.6777,0.984719,6.39008
1 mm,3.5,12.0,111.007,15.9817,0.984719,6.39008
1 mm,3.5,12.5,106.567,17.3413,0.984719,6.39008
1 mm,3.5,13.0,102.468,18.7563,0.984719,6.39008
1 mm,3.5,13.5,98.6731,20.2269,0.984719,6.39008
1 mm,3.5,14.0,95.1491,21.7529,0.984719,6.39008
1 mm,3.5,14.5,91.8681,23.3344,0.984719,6.39008
1 mm,3.5,15.0,88.8058,24.9714,0.984719,6.39008
1 mm,4.0,2.0,666.044,0.339889,0.984719,6.39008
1 mm,4.0,2.5,532.835,0.531077,0.984719,6.39008
1 mm,4.0,3.0,444.029,0.76475,0.984719,6.39008
1 mm,4.0,3.5,380.596,1.04091,0.984719,6.39008
1 mm,4.0,4.0,333.022,1.35956,0.984719,6.39008
1 mm,4.0,4.5,296.019,1.72069,0.984719,6.39008
1 mm,4.0,5.0,266.417,2.12431,0.984719,6.39008
1 mm,4.0,5.5,242.198,2.57041,0.984719,6.39008
1 mm,4.0,6.0,222.015,3.059,0.984719,6.39008
1 mm,4.0,6.5,204.937,3.59008,0.984719,6.39008
1 mm,4.0,7.0,190.298,4.16364,0.984719,6.39008
1 mm,4.0,7.5,177.612,4.77969,0.984719,6.39008
1 mm,4.0,8.0,166.511,5.43822,0.984719,6.39008
1 mm,4.0,8.5,156.716,6.13925,0.984719,6.39008
1 mm,4.0,9.0,148.01,6.88275,0.984719,6.39008
1 mm,4.0,9.5,140.22,7.66875,0.984719,6.39008
1 mm,4.0,10.0,133.209,8.49722,0.984719,6.39008
1 mm,4.0,10.5,126.865,9.36819,0.984719,6.39008
1 mm,4.0,11.0,121.099,10.2816,0.984719,6.39008
1 mm,4.0,11.5,115.834,11.2376,0.984719,6.39008
