meetbereik(hw50),f1(cm),f2(cm),r_d(um),offset(mm),sens(/mm),linear_range(mm)
1 um,2.0,2.0,0.666044,0.00135956,984.719,0.00639008
1 um,2.0,2.5,0.532835,0.00212431,984.719,0.00639008
1 um,2.0,3.0,0.444029,0.003059,984.719,0.00639008
1 um,2.0,3.5,0.380596,0.00416364,984.719,0.00639008
1 um,2.0,4.0,0.333022,0.00543822,984.719,0.00639008
1 um,2.0,4.5,0.296019,0.00688275,984.719,0.00639008
1 um,2.0,5.0,0.266417,0.00849722,984.719,0.00639008
1 um,2.0,5.5,0.242198,0.0102816,984.719,0.00639008
1 um,2.0,6.0,0.222015,0.012236,984.719,0.00639008
1 um,2.0,6.5,0.204937,0.0143603,984.719,0.00639008
1 um,2.0,7.0,0.190298,0.0166546,984.719,0.00639008
1 um,2.0,7.5,0.177612,0.0191188,984.719,0.00639008
1 um,2.0,8.0,0.166511,0.0217529,984.719,0.00639008
1 um,2.0,8.5,0.156716,0.024557,984.719,0.00639008
1 um,2.0,9.0,0.14801,0.027531,984.719,0.00639008
1 um,2.0,9.5,0.14022,0.030675,984.719,0.00639008
1 um,2.0,10.0,0.133209,0.0339889,984.719,0.00639008
1 um,2.0,10.5,0.126865,0.0374728,984.719,0.00639008
1 um,2.0,11.0,0.121099,0.0411266,984.719,0.00639008
1 um,2.0,11.5,0.115834,0.0449503,984.719,0.00639008
1 um,2.0,12.0,0.111007,0.048944,984.719,0.00639008
1 um,2.0,12.5,0.106567,0.0531077,984.719,0.00639008
1 um,2.0,13.0,0.102468,0.0574412,984.719,0.00639008
1 um,2.0,13.5,0.0986731,0.0619448,984.719,0.00639008
1 um,2.0,14.0,0.0951491,0.0666182,984.719,0.00639008
1 um,2.0,14.5,0.0918681,0.0714617,984.719,0.00639008
1 um,2.0,15.0,0.0888058,0.076475,984.719,0.00639008
1 um,2.5,2.0,0.666044,0.000870116,984.719,0.00639008
1 um,2.5,2.5,0.532835,0.00135956,984.719,0.00639008
1 um,2.5,3.0,0.444029,0.00195776,984.719,0.00639008
1 um,2.5,3.5,0.380596,0.00266473,984.719,0.00639008
1 um,2.5,4.0,0.333022,0.00348046,984.719,0.00639008
1 um,2.5,4.5,0.296019,0.00440496,984.719,0.00639008
1 um,2.5,5.0,0.266417,0.00543822,984.719,0.00639008
1 um,2.5,5.5,0.242198,0.00658025,984.719,0.00639008
1 um,2.5,6.0,0.222015,0.00783104,984.719,0.00639008
1 um,2.5,6.5,0.204937,0.0091906,984.719,0.00639008
1 um,2.5,7.0,0.190298,0.0106589,984.719,0.00639008
1 um,2.5,7.5,0.177612,0.012236,984.719,0.00639008
1 um,2.5,8.0,0.166511,0.0139219,984.719,0.00639008
1 um,2.5,8.5,0.156716,0.0157165,984.719,0.00639008
1 um,2.5,9.0,0.14801,0.0176198,984.719,0.00639008
1 um,2.5,9.5,0.14022,0.019632,984.719,0.00639008
1 um,2.5,10.0,0.133209,0.0217529,984.719,0.00639008
1 um,2.5,10.5,0.126865,0.0239826,984.719,0.00639008
