% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 1 Hz, stop freq 1.000 kHz, RBW 4.883 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-06-10 T 16:00:47 +0200
% Frequency (Hz), Input 1 (Vpp)
6.364037593206e-01, 2.492629e-02
1.629814505577e+00, 2.153884e-02
2.623225251834e+00, 1.628450e-02
3.616635998090e+00, 1.064810e-02
4.610046744347e+00, 5.892268e-03
5.603457490603e+00, 2.640752e-03
6.596868236860e+00, 8.538385e-04
7.590278983116e+00, 1.034016e-04
8.583689729373e+00, 1.160008e-04
9.577100475629e+00, 1.189537e-04
1.057051122189e+01, 7.382314e-05
1.156392196814e+01, 2.864338e-05
1.255733271440e+01, 3.075964e-05
1.355074346066e+01, 6.417692e-05
1.454415420691e+01, 8.962129e-05
1.553756495317e+01, 1.067975e-04
1.653097569942e+01, 1.179202e-04
1.752438644568e+01, 1.251548e-04
1.851779719194e+01, 1.279601e-04
1.951120793819e+01, 1.251548e-04
2.050461868445e+01, 1.173296e-04
2.149802943071e+01, 1.067975e-04
2.249144017696e+01, 9.793870e-05
2.348485092322e+01, 9.429676e-05
2.447826166948e+01, 9.444441e-05
2.547167241573e+01, 9.439519e-05
2.646508316199e+01, 9.021188e-05
2.745849390825e+01, 7.992585e-05
2.845190465450e+01, 6.461986e-05
2.944531540076e+01, 4.823112e-05
3.043872614702e+01, 3.764980e-05
3.143213689327e+01, 3.715765e-05
3.242554763953e+01, 4.567192e-05
3.341895838579e+01, 6.245438e-05
3.441236913204e+01, 8.622543e-05
3.540577987830e+01, 1.126049e-04
3.639919062455e+01, 1.352932e-04
3.739260137081e+01, 1.483353e-04
3.838601211707e+01, 1.480400e-04
3.937942286332e+01, 1.331769e-04
4.037283360958e+01, 1.065514e-04
4.136624435584e+01, 7.397079e-05
4.235965510209e+01, 4.335879e-05
4.335306584835e+01, 2.027676e-05
4.434647659461e+01, 3.888019e-06
4.533988734086e+01, 1.181170e-05
4.633329808712e+01, 2.869259e-05
4.732670883338e+01, 4.424467e-05
4.832011957963e+01, 5.512128e-05
4.931353032589e+01, 5.896008e-05
5.030694107215e+01, 5.477677e-05
5.130035181840e+01, 4.296507e-05
5.229376256466e+01, 2.583810e-05
5.328717331092e+01, 9.301716e-06
5.428058405717e+01, 1.146719e-05
5.527399480343e+01, 1.427247e-05
5.626740554969e+01, 1.250072e-05
5.726081629594e+01, 5.123326e-05
5.825422704220e+01, 1.222511e-04
5.924763778845e+01, 2.153667e-04
6.024104853471e+01, 3.128625e-04
6.123445928097e+01, 3.904752e-04
6.222787002722e+01, 4.257134e-04
6.322128077348e+01, 4.077990e-04
6.421469151974e+01, 3.422441e-04
6.520810226599e+01, 2.483410e-04
6.620151301225e+01, 1.497133e-04
6.719492375851e+01, 6.580102e-05
6.818833450476e+01, 1.279601e-05
6.918174525102e+01, 3.833882e-05
7.017515599728e+01, 5.920616e-05
7.116856674353e+01, 6.786807e-05
7.216197748979e+01, 6.703141e-05
7.315538823605e+01, 5.777891e-05
7.414879898230e+01, 4.119331e-05
7.514220972856e+01, 2.003068e-05
7.613562047482e+01, 3.789588e-06
7.712903122107e+01, 2.121185e-05
7.812244196733e+01, 3.336806e-05
7.911585271358e+01, 3.853568e-05
8.010926345984e+01, 3.838803e-05
8.110267420610e+01, 3.691157e-05
8.209608495235e+01, 3.819117e-05
8.308949569861e+01, 4.316193e-05
8.408290644487e+01, 4.936307e-05
8.507631719112e+01, 5.369403e-05
8.606972793738e+01, 5.467834e-05
8.706313868364e+01, 5.280815e-05
8.805654942989e+01, 5.167620e-05
8.904996017615e+01, 5.541657e-05
9.004337092241e+01, 6.279888e-05
9.103678166866e+01, 6.747435e-05
9.203019241492e+01, 6.486593e-05
9.302360316118e+01, 5.457991e-05
9.401701390743e+01, 4.065194e-05
9.501042465369e+01, 3.085807e-05
9.600383539995e+01, 3.139944e-05
9.699724614620e+01, 3.735451e-05
9.799065689246e+01, 4.227605e-05
9.898406763872e+01, 4.458918e-05
9.997747838497e+01, 4.591799e-05
1.009708891312e+02, 4.852641e-05
1.019642998775e+02, 5.354638e-05
1.029577106237e+02, 5.999360e-05
1.039511213700e+02, 6.604710e-05
1.049445321163e+02, 6.978747e-05
1.059379428625e+02, 7.052570e-05
1.069313536088e+02, 6.831101e-05
1.079247643550e+02, 6.393084e-05
1.089181751013e+02, 5.807420e-05
1.099115858475e+02, 5.118404e-05
1.109049965938e+02, 4.330957e-05
1.118984073400e+02, 3.454923e-05
1.128918180863e+02, 2.618261e-05
1.138852288326e+02, 2.101499e-05
1.148786395788e+02, 2.121185e-05
1.158720503251e+02, 2.455850e-05
1.168654610713e+02, 2.824965e-05
1.178588718176e+02, 3.080886e-05
1.188522825638e+02, 3.203924e-05
1.198456933101e+02, 3.208846e-05
1.208391040564e+02, 3.115336e-05
1.218325148026e+02, 2.933239e-05
1.228259255489e+02, 2.628104e-05
1.238193362951e+02, 2.209773e-05
1.248127470414e+02, 1.840657e-05
1.258061577876e+02, 1.786520e-05
1.267995685339e+02, 2.131028e-05
1.277929792802e+02, 2.554281e-05
1.287863900264e+02, 2.800358e-05
1.297798007727e+02, 2.815122e-05
1.307732115189e+02, 2.697005e-05
1.317666222652e+02, 2.613339e-05
1.327600330114e+02, 2.706848e-05
1.337534437577e+02, 2.957847e-05
1.347468545039e+02, 3.262983e-05
1.357402652502e+02, 3.548432e-05
1.367336759965e+02, 3.784666e-05
1.377270867427e+02, 4.030743e-05
1.387204974890e+02, 4.321114e-05
1.397139082352e+02, 4.557348e-05
1.407073189815e+02, 4.577034e-05
1.417007297277e+02, 4.232527e-05
1.426941404740e+02, 3.518903e-05
1.436875512203e+02, 2.637947e-05
1.446809619665e+02, 2.057205e-05
1.456743727128e+02, 2.096577e-05
1.466677834590e+02, 2.293439e-05
1.476611942053e+02, 2.195008e-05
1.486546049515e+02, 1.717618e-05
1.496480156978e+02, 1.077818e-05
1.506414264441e+02, 7.825252e-06
1.516348371903e+02, 1.146719e-05
1.526282479366e+02, 1.668403e-05
1.536216586828e+02, 2.263910e-05
